matchNum,allianceStationID,team,teamMatchNum,preNoShow,preStartPosID,autoFuelTotal,autoNZtotal,autoLinePen,autoClimbTypeID,autoClimbLocID,teleFuelTotal,teleNZtotal,nzShuttle,oppShuttle,oppPickup,climbTypeID,climbLocID,climbTime,postSubBroke,postBreakDown,postBeach,postDef,postWasDef,BATechFoul,BAFoul,RP1,RP2,RP3,nzPlow,alliancePickup
8,4,177,2,0.0,1.0,0,2,0,,,25,0,0,1,0,5.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2
8,5,3461,2,0.0,4.0,0,1,0,,,0,1,0,0,0,5.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
8,6,176,2,0.0,5.0,25,5,0,,,204,4,3,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
9,1,236,2,0.0,1.0,25,2,0,1.0,4.0,90,3,0,0,0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,0
9,2,571,2,0.0,5.0,10,3,0,,,0,2,0,0,1,5.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0
9,3,10910,2,0.0,3.0,0,1,0,,,0,1,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0
9,4,4034,2,0.0,1.0,0,1,0,,,0,0,0,0,0,5.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
9,5,181,2,0.0,3.0,0,1,0,,,0,0,0,0,0,1.0,3.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,6,173,2,0.0,5.0,6,1,0,,,0,6,0,0,0,5.0,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0
10,1,230,2,0.0,1.0,17,3,0,,,81,3,0,0,0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2,6
